exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
557848210,276948,Emx1-IRES-Cre,175,628,193,56750,VISl,66.56666666666670,57.44166666666670
558670888,273576,Cux2-CreERT2,275,628,168,58267,VISal,85.775,74.35000000000000
539497234,250789,Scnn1a-Tg3-Cre,275,628,83,56617,VISp,53.48333333333340,41.43333333333330
674275260,372079,Slc17a7-IRES2-Cre,375,628,84,56621,VISpm,57.925,57.82500000000000
616779893,335039,Rbp4-Cre_KL100,375,628,13,56761,VISam,27.691666666666700,40.11666666666670
569396924,284418,Rorb-IRES2-Cre,275,628,89,56748,VISal,75.67500000000000,52.883333333333400
588191926,301125,Rbp4-Cre_KL100,375,628,29,56617,VISrl,29.308333333333300,35.425
582918858,297504,Sst-IRES-Cre,350,628,17,56606,VISp,57.45000000000000,42.44166666666670
612549085,327595,Sst-IRES-Cre,375,628,16,56609,VISl,19.116666666666700,29.33333333333330
503412730,222425,Cux2-CreERT2,175,628,119,56752,VISal,67.81666666666660,44.10833333333340
601910964,317644,Vip-IRES-Cre,175,628,11,56754,VISl,15.866666666666700,27.891666666666700
637669284,340467,Slc17a7-IRES2-Cre,175,628,82,56624,VISam,52.01666666666670,48.10833333333320
606353987,326489,Vip-IRES-Cre,175,628,13,56753,VISp,17.625000000000000,26.225000000000000
643062797,340378,Sst-IRES-Cre,375,628,11,56622,VISpm,20.65,32.1916666666667
511534603,231953,Scnn1a-Tg3-Cre,350,628,213,56619,VISp,35.12500000000000,47.43333333333330
672211004,369496,Pvalb-IRES-Cre,275,628,11,56759,VISp,17.40833333333330,40.41666666666670
539290504,257786,Nr5a1-Cre,350,628,45,56750,VISp,42.88333333333340,38.641666666666600
702934964,382421,Cux2-CreERT2,275,628,140,56625,VISp,93.57500000000000,68.90000000000000
560898462,280639,Emx1-IRES-Cre,175,628,176,56759,VISal,87.51666666666670,54.39166666666670
573083539,291465,Rbp4-Cre_KL100,375,628,48,56765,VISal,64.55833333333330,63.08333333333340
603187982,317098,Vip-IRES-Cre,175,628,14,56774,VISl,16.600000000000000,30.71666666666670
530645663,246775,Scnn1a-Tg3-Cre,350,628,109,56741,VISp,29.64166666666670,38.00833333333340
526504941,237706,Emx1-IRES-Cre,175,628,167,56750,VISp,50.225000000000000,46.5
561312435,280638,Emx1-IRES-Cre,275,628,302,56611,VISp,90.925,63.850000000000000
664404274,361807,Slc17a7-IRES2-Cre,375,628,136,56615,VISp,55.65000000000010,57.491666666666700
562711440,271732,Nr5a1-Cre,350,628,27,56607,VISam,23.108333333333300,27.08333333333330
577379202,296891,Sst-IRES-Cre,375,628,6,56753,VISp,48.84166666666670,58.475
710502981,389531,Cux2-CreERT2,275,628,213,56622,VISrl,16.608333333333300,26.825
569792817,284669,Emx1-IRES-Cre,375,628,53,56609,VISam,42.75,39.01666666666660
580043440,297504,Sst-IRES-Cre,275,628,10,56610,VISp,42.150000000000000,43.52500000000000
662351164,360566,Cux2-CreERT2,175,628,82,56622,VISrl,43.26666666666670,32.89166666666670
573720508,297620,Sst-IRES-Cre,275,628,10,56616,VISp,40.20833333333330,51.21666666666670
599909878,315562,Sst-IRES-Cre,300,628,11,56769,VISpm,29.733333333333300,25.925000000000000
674679019,374201,Fezf2-CreER,390,628,80,56623,VISp,76.68333333333350,66.81666666666670
603188560,321822,Sst-IRES-Cre,275,628,10,56759,VISpm,41.64166666666670,38.350000000000000
560920977,271727,Nr5a1-Cre,335,628,23,56598,VISpm,18.416666666666700,32.97500000000000
645256361,347748,Slc17a7-IRES2-Cre,275,628,137,56628,VISl,58.733333333333400,53.19166666666670
508753256,231951,Scnn1a-Tg3-Cre,275,628,130,56643,VISp,35.75833333333330,43.00833333333330
673475020,369496,Pvalb-IRES-Cre,275,628,12,56750,VISl,25.37500000000000,48.62500000000000
547388708,262562,Scnn1a-Tg3-Cre,350,628,110,58258,VISp,54.45,47.91666666666670
669233895,370773,Ntsr1-Cre_GN220,625,628,104,56763,VISpm,57.475000000000000,49.34166666666670
